,index,coordinates,codeInsee,nom,adresse_ligne01,adresse_ligne02,adresse_ligne03,adresse_code_postal,adresse_commune,adresse_coordonnees,telephone,e_mail,url,zonage_commune
0,permanence_juridique-45208-01,"[2.730099, 47.998876]",45208,Point-justice - relais d’accès au droit du palais de justice de Montargis,84 rue du Général Leclerc,,,45200,MONTARGIS,"[2.730099, 47.998876]",02 38 87 59 00,,,['45208 Montargis']
1,permanence_juridique-45173-01,"[2.113064, 47.861755]",45173,Point-justice - Point d’accès au droit de la maison du département de Jargeau,1 A rue des maraichers,,,45150,JARGEAU,"[2.113064, 47.861755]",02 38 25 45 45,,,['45173 Jargeau']
2,permanence_juridique-45285-01,"[1.86886, 47.908836]",45285,Point-justice - France services,53 rue des A gates,,,45140,ST JEAN DE LA RUELLE,"[1.86886, 47.908836]",02 38 79 33 74,,,['45285 Saint-Jean-de-la-Ruelle']
3,permanence_juridique-45028-01,"[1.621013, 47.781128]",45028,Point-justice - France services,59 avenue de vendôme,,,45190,BEAUGENCY,"[1.621013, 47.781128]",02 38 44 67 77,,,['45028 Beaugency']
4,permanence_juridique-45155-01,"[2.628626, 47.685036]",45155,Point-justice - Point d’accès au droit de la mairie de Gien,"12, rue de l'hôtel de ville",,,45500,GIEN,"[2.628626, 47.685036]",02 38 29 80 00,,,['45155 Gien']
5,permanence_juridique-45224-01,"[2.051869, 48.068408]",45224,Point-justice - France services,Bureau de poste - 2 rue de la Pichardière,,,45170,NEUVILLE AUX BOIS,"[2.051869, 48.068408]",02 38 91 09 45,,,['45224 Neuville-aux-Bois']
6,permanence_juridique-45031-01,"[2.446853, 47.990549]",45031,Point-justice - France services,4 avenue de la Quiétude,,,45270,BELLEGARDE,"[2.446853, 47.990549]",02 38 90 90 75,,,['45031 Bellegarde']
7,permanence_juridique-45252-01,"[2.254211, 48.179388]",45252,Point-justice - France services,4 rue Prudhomme,,,45300,PITHIVIERS,"[2.254211, 48.179388]",02 38 40 52 60,,,['45252 Pithiviers']
8,permanence_juridique-45191-01,"[2.322788, 48.309601]",45191,Point-justice - France services,19/21 place du Martoy,,,45330,MALESHERBES,"[2.322788, 48.309601]",09 72 66 04 24,,,['45191 Malesherbes']
9,permanence_juridique-45085-01,"[2.844257, 47.831694]",45085,Point-justice - France services,8 chemin de la messe,,,45230,CHATILLON COLIGNY,"[2.844257, 47.831694]",02 18 69 31 13,,,['45085 Châtillon-Coligny']
